"","sex","race","ethnicity","Identifier","freq","mean_absorbance"
"1","Male","Unknown","Unknown","Aithal_2013",250,0.546310085058212
"2","Male","Unknown","Unknown","Aithal_2013",300,0.522112418924059
"3","Male","Unknown","Unknown","Aithal_2013",400,0.451222805040223
"4","Male","Unknown","Unknown","Aithal_2013",500,0.423414598192487
"5","Male","Unknown","Unknown","Aithal_2013",600,0.449194474731173
"6","Male","Unknown","Unknown","Aithal_2013",800,0.506648649488177
"7","Male","Unknown","Unknown","Aithal_2013",1000,0.63385768873351
"8","Male","Unknown","Unknown","Aithal_2013",1250,0.757997670343944
"9","Male","Unknown","Unknown","Aithal_2013",1500,0.800960378987449
"10","Male","Unknown","Unknown","Aithal_2013",2000,0.758656258242471
"11","Male","Unknown","Unknown","Aithal_2013",2500,0.613726822819029
"12","Male","Unknown","Unknown","Aithal_2013",3000,0.536855277844838
"13","Male","Unknown","Unknown","Aithal_2013",4000,0.497412852942944
"14","Male","Unknown","Unknown","Aithal_2013",5000,0.686332931688854
"15","Male","Unknown","Unknown","Aithal_2013",6000,0.78499721629279
"16","Male","Unknown","Unknown","Aithal_2013",8000,0.701862577029637
"17","Female","Unknown","Unknown","Aithal_2013",250,0.5418904885169
"18","Female","Unknown","Unknown","Aithal_2013",300,0.515080051076028
"19","Female","Unknown","Unknown","Aithal_2013",400,0.423487785843111
"20","Female","Unknown","Unknown","Aithal_2013",500,0.392849982746186
"21","Female","Unknown","Unknown","Aithal_2013",600,0.437865006827539
"22","Female","Unknown","Unknown","Aithal_2013",800,0.522571743496003
"23","Female","Unknown","Unknown","Aithal_2013",1000,0.674110721195898
"24","Female","Unknown","Unknown","Aithal_2013",1250,0.753288244047473
"25","Female","Unknown","Unknown","Aithal_2013",1500,0.756371241423392
"26","Female","Unknown","Unknown","Aithal_2013",2000,0.721436622642702
"27","Female","Unknown","Unknown","Aithal_2013",2500,0.552959263324738
"28","Female","Unknown","Unknown","Aithal_2013",3000,0.472696786445956
"29","Female","Unknown","Unknown","Aithal_2013",4000,0.441086569140034
"30","Female","Unknown","Unknown","Aithal_2013",5000,0.620642443337748
"31","Female","Unknown","Unknown","Aithal_2013",6000,0.713923171643288
"32","Female","Unknown","Unknown","Aithal_2013",8000,0.633678766508256
