"Month","Hour","Day of Week","Council District (Start)","sum_trip_distance","Year (US/Central)"
"8","11","0","3","68,797","2,021"
"10","5","5","3","622,792","2,019"
"8","9","1","9","276,694.72733044068","2,021"
"1","9","5","7","4,487","2,022"
"5","2","3","5","693,354","2,019"
"12","2","2","1","82,980.41434601985","2,020"
"3","8","3","8","7,866","2,019"
"1","13","0","3","123,111","2,020"
"7","2","2","5","578,411.77266044298","2,021"
"3","10","2","9","202,563","2,019"
"2","20","0","7","7,930","2,021"
"2","4","0","2","4,136.9676514324","2,021"
"7","18","3","8","48,342","2,018"
"10","11","0","4","1,464","2,019"
"2","2","0","1","404,774","2,020"
"4","21","2","3","54,740","2,018"
"1","14","0","7","33,746","2,019"
"10","3","6","3","660,801.53596264158","2,020"
"7","0","5","10","18,987","2,021"
"9","16","1","9","26,528,361","2,019"
"10","22","6","None","5,242","2,021"
"5","14","6","3","66,516","2,020"
"11","3","5","6","8,475","2,018"
"9","13","2","7","2,599","2,019"
"6","22","3","6","79","2,021"
"3","10","1","3","40,097","2,019"
"7","22","4","10","11,742.7035049476","2,020"
"1","1","3","4","36,395","2,020"
"9","21","6","4","36,675","2,018"
"2","8","6","5","35,264","2,019"
"5","16","4","0","11,535","2,019"
"4","20","5","10","18,649","2,018"
"9","1","1","0","18,912","2,018"
"4","21","3","9","204,754,769","2,020"
"6","7","3","4","7,086","2,021"
"8","2","0","3","788,094","2,019"
"1","11","6","3","28,727","2,020"
"12","11","4","7","629","2,021"
"2","5","5","2","9,942","2,020"
"11","8","6","None","0","2,021"
"8","20","1","8","52,006","2,018"
"5","12","2","3","336,973","2,019"
"7","11","5","1","27,857.48027744094","2,021"
"10","4","6","7","1,645","2,020"
"7","0","0","0","15,878","2,018"
"8","3","4","4","21,641.64847483557","2,021"
"7","13","3","3","848,369","2,019"
"4","20","5","7","10,898","2,020"
"12","21","1","5","156,081.37215329186","2,021"
"8","21","0","None","0","2,021"
"9","18","0","7","2,082","2,020"
"8","8","5","3","170,609","2,019"
"8","9","4","7","85","2,021"
"1","0","2","4","43,188","2,019"
"2","16","0","9","2,566,420","2,019"
"8","4","1","5","9,719","2,018"
"3","8","0","1","42,033","2,019"
"5","22","3","8","116,612","2,019"
"4","15","0","0","9,651","2,018"
"1","20","0","8","57,285","2,019"
"6","20","3","3","465,411","2,019"
"12","3","4","5","184,911","2,019"
"6","20","0","9","2,593,657.52268085482","2,021"
"1","13","0","1","43,764","2,019"
"1","20","4","9","3,883,885","2,019"
"9","0","0","9","5,626,763.39579399085","2,021"
"10","20","2","4","982","2,021"
"7","3","4","9","388,748","2,018"
"10","10","5","7","4,479","2,018"
"7","14","4","1","169,266.76244234066","2,021"
"12","14","3","1","40,113","2,021"
"5","3","4","10","16,140","2,019"
"2","8","3","2","1,238","2,019"
"8","18","5","5","568,903","2,019"
"5","6","1","3","15,687","2,020"
"7","16","3","5","38,071","2,018"
"7","17","5","10","85,358","2,019"
"6","22","1","2","15,420","2,021"
"2","22","5","7","19,845","2,020"
"5","14","2","9","582,454.0181405313","2,021"
"2","12","0","4","8,065","2,020"
"5","13","0","1","27,683","2,021"
"10","11","0","9","312,826","2,019"
"2","10","1","9","55,876.7362881902","2,022"
"10","11","1","1","4,564","2,020"
"7","10","3","5","0","2,020"
"7","15","6","10","971","2,020"
"3","0","3","3","394,251.07832618903","2,020"
"9","1","5","7","23,135","2,018"
"1","12","4","3","103,811","2,020"
"8","19","0","5","362,884","2,019"
"8","17","6","9","5,319,313","2,018"
"4","23","5","8","265,503","2,019"
"3","8","4","4","1,215","2,019"
"2","12","4","3","8,254","2,021"
"3","19","6","10","248,685","2,019"
"11","5","0","2","5,044","2,021"
"10","20","0","9","2,151,142,954","2,018"
"11","21","1","8","13,312","2,020"
"8","12","1","8","4,689","2,021"
"11","16","5","4","2,326","2,019"
"4","2","6","7","37,125","2,021"
"1","13","0","5","9,761","2,022"
"10","14","4","8","7,992","2,019"
"9","14","4","4","4,900","2,018"
"8","18","5","9","4,974,741","2,018"
"2","3","6","9","2,805,717.46880691016","2,021"
"9","8","2","4","8,297","2,021"
"2","22","4","9","107,240,769.12282631733","2,020"
"7","1","6","9","49,356,622.50471353604","2,020"
"3","2","5","10","16,573","2,020"
"4","23","2","4","14,933","2,020"
"11","16","3","5","69,588","2,018"
"2","13","0","3","64,344.1764529101","2,022"
"2","9","0","2","2,496","2,022"
"5","23","1","7","125","2,021"
"2","10","4","2","3,633","2,019"
"7","1","3","7","11,524","2,021"
"11","19","4","4","1,849","2,021"
"8","5","0","9","1,678,520.12441680235","2,020"
"11","3","4","10","548","2,021"
"4","4","4","None","14,000","2,022"
"10","17","6","8","38,550","2,021"
"10","22","3","7","17,443","2,019"
"1","20","2","8","13,860","2,022"
"8","4","0","5","91,106","2,019"
"3","2","0","7","6,703","2,021"
"9","3","1","3","210,563.60923211811","2,020"
"6","2","1","5","431,203.02368032091","2,021"
"4","22","1","9","1,349,662","2,018"
"2","6","0","4","5,913","2,019"
"4","12","0","1","126,501","2,019"
"9","11","4","1","19,663","2,018"
"2","0","1","4","12,815","2,020"
"3","11","1","1","15,327","2,022"
"12","2","5","5","61,923.99759877047","2,020"
"7","18","1","10","2,396","2,020"
"12","20","3","5","115,154","2,019"
"4","20","5","5","194,478.73695847282","2,022"
"3","2","1","4","32,680","2,022"
"3","20","5","2","10,913","2,019"
"2","16","5","4","6,590","2,022"
"6","21","1","4","7,700","2,019"
"10","4","6","8","43,309","2,021"
"1","18","1","4","7,277","2,022"
"8","1","0","10","71,910","2,018"
"1","15","4","3","330,059","2,019"
"7","19","2","7","6,465","2,020"
"3","2","0","10","21,394","2,019"
"3","11","1","9","164,759.69062324506","2,022"
"8","21","4","4","9,515","2,021"
"9","20","3","4","8,813","2,021"
"6","16","3","8","10,468.62570568841","2,021"
"12","4","1","5","23,072","2,020"
"4","23","4","7","17,232","2,020"
"4","8","2","4","904","2,019"
"7","6","3","5","136,827","2,019"
"6","15","0","7","10,573","2,019"
"9","6","0","9","2,186,641.13607348988","2,021"
"9","12","2","3","172,936","2,021"
"9","19","1","1","346,616","2,018"
"7","16","0","5","16,729","2,018"
"4","13","1","7","15,422","2,019"
"6","16","5","3","850,807.56945728427","2,021"
"5","22","6","8","636,206,254","2,020"
"10","17","5","10","76,778","2,018"
"6","1","4","4","19,699","2,019"
"11","14","0","3","63,288","2,020"
"12","2","2","4","5,059","2,019"
"4","8","1","2","10,153","2,020"
"6","15","0","10","28,839","2,021"
"11","3","2","5","69,939","2,018"
"9","21","1","None","23","2,021"
"8","19","2","9","3,652,092","2,018"
"10","18","5","0","11,358,521","2,019"
"1","20","2","4","4,440","2,021"
"1","16","1","1","111,698","2,020"
"8","2","3","2","5,325","2,021"
"12","7","1","9","231,887.7059937822","2,020"
"11","1","2","10","26,298","2,019"
"1","21","5","1","437,022.48334547021","2,021"
"12","20","1","9","3,334,209","2,018"
"3","0","0","10","9,127","2,021"
"9","13","1","1","259,383","2,019"
"10","7","0","1","112,340.26601073143","2,021"
"8","21","1","9","2,868,208","2,018"
"12","19","6","4","1,382","2,019"
