"","Identifier","Frequency","mean_absorbance","studies"
"1","Abur_2014",210.938003540039,0.0784745858982205,"Abur et al. (2014) N=7; HearID"
"2","Abur_2014",234.375,0.0826419941907705,"Abur et al. (2014) N=7; HearID"
"3","Abur_2014",257.81201171875,0.0948482345529767,"Abur et al. (2014) N=7; HearID"
"4","Abur_2014",281.25,0.103147223071997,"Abur et al. (2014) N=7; HearID"
"5","Abur_2014",304.68798828125,0.113757644844956,"Abur et al. (2014) N=7; HearID"
"6","Abur_2014",328.125,0.122120530799378,"Abur et al. (2014) N=7; HearID"
"7","Abur_2014",351.56201171875,0.133432917383521,"Abur et al. (2014) N=7; HearID"
"8","Abur_2014",375,0.144772480263613,"Abur et al. (2014) N=7; HearID"
"9","Abur_2014",398.43798828125,0.156387370426294,"Abur et al. (2014) N=7; HearID"
"10","Abur_2014",421.875,0.180697263629977,"Abur et al. (2014) N=7; HearID"
"11","Abur_2014",445.31201171875,0.184419809732326,"Abur et al. (2014) N=7; HearID"
"12","Abur_2014",468.75,0.20246982539809,"Abur et al. (2014) N=7; HearID"
"13","Abur_2014",492.18798828125,0.214369600248891,"Abur et al. (2014) N=7; HearID"
"14","Abur_2014",515.625,0.229987605279961,"Abur et al. (2014) N=7; HearID"
"15","Abur_2014",539.06201171875,0.247967875627584,"Abur et al. (2014) N=7; HearID"
"16","Abur_2014",562.5,0.271140140502952,"Abur et al. (2014) N=7; HearID"
"17","Abur_2014",585.93798828125,0.288129575117383,"Abur et al. (2014) N=7; HearID"
"18","Abur_2014",609.375,0.305035687203324,"Abur et al. (2014) N=7; HearID"
"19","Abur_2014",632.81201171875,0.321883685453687,"Abur et al. (2014) N=7; HearID"
"20","Abur_2014",656.25,0.329060011824896,"Abur et al. (2014) N=7; HearID"
"21","Abur_2014",679.68798828125,0.345225489416788,"Abur et al. (2014) N=7; HearID"
"22","Abur_2014",703.125,0.357317151545092,"Abur et al. (2014) N=7; HearID"
"23","Abur_2014",726.56201171875,0.373823791742325,"Abur et al. (2014) N=7; HearID"
"24","Abur_2014",750,0.38772201018278,"Abur et al. (2014) N=7; HearID"
"25","Abur_2014",773.43798828125,0.403098280000132,"Abur et al. (2014) N=7; HearID"
"26","Abur_2014",796.875,0.420386083943899,"Abur et al. (2014) N=7; HearID"
"27","Abur_2014",820.31201171875,0.435613417694735,"Abur et al. (2014) N=7; HearID"
"28","Abur_2014",843.75,0.449971069430196,"Abur et al. (2014) N=7; HearID"
"29","Abur_2014",867.18798828125,0.469134557039239,"Abur et al. (2014) N=7; HearID"
"30","Abur_2014",890.625,0.482178595003694,"Abur et al. (2014) N=7; HearID"
"31","Abur_2014",914.06201171875,0.488832488482775,"Abur et al. (2014) N=7; HearID"
"32","Abur_2014",937.5,0.498322116600913,"Abur et al. (2014) N=7; HearID"
"33","Abur_2014",960.93798828125,0.505208392475927,"Abur et al. (2014) N=7; HearID"
"34","Abur_2014",984.375,0.514419349820115,"Abur et al. (2014) N=7; HearID"
"35","Abur_2014",1007.80999755859,0.522575765155083,"Abur et al. (2014) N=7; HearID"
"36","Abur_2014",1031.25,0.530186081175194,"Abur et al. (2014) N=7; HearID"
"37","Abur_2014",1054.68994140625,0.544747257995051,"Abur et al. (2014) N=7; HearID"
"38","Abur_2014",1078.11999511719,0.558113534436669,"Abur et al. (2014) N=7; HearID"
"39","Abur_2014",1101.56005859375,0.56677628984285,"Abur et al. (2014) N=7; HearID"
"40","Abur_2014",1125,0.575621084071869,"Abur et al. (2014) N=7; HearID"
"41","Abur_2014",1148.43994140625,0.584432150042334,"Abur et al. (2014) N=7; HearID"
"42","Abur_2014",1171.88000488281,0.594256326209667,"Abur et al. (2014) N=7; HearID"
"43","Abur_2014",1195.31005859375,0.603092399100925,"Abur et al. (2014) N=7; HearID"
"44","Abur_2014",1218.75,0.610166289778643,"Abur et al. (2014) N=7; HearID"
"45","Abur_2014",1242.18994140625,0.614843525165735,"Abur et al. (2014) N=7; HearID"
"46","Abur_2014",1265.61999511719,0.620556012142536,"Abur et al. (2014) N=7; HearID"
"47","Abur_2014",1289.06005859375,0.624542092168054,"Abur et al. (2014) N=7; HearID"
"48","Abur_2014",1312.5,0.630529593589694,"Abur et al. (2014) N=7; HearID"
"49","Abur_2014",1335.93994140625,0.632731394365776,"Abur et al. (2014) N=7; HearID"
"50","Abur_2014",1359.38000488281,0.635862069074498,"Abur et al. (2014) N=7; HearID"
